Timestamp,Age,Education Level,Number of Courses,Hours of Sleep,Time of Sleep,Hours of Part-Time Job,Number of Extracurricular Activities,Hours of Studying,Study Methods,Break Frequency,Focus Methods,Challenge when Studying,Distraction Frequency,Resources if Stuck,Study Motivation,Current Study Habits Rating
4/3/2025 18:40:22,18 - 21,Undergraduate,3 - 4,8+ hours,After 12 AM,"Yes, less than 10 hours per week",More than 4 activities,3 - 4 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 30 minutes - 1 hour,Silence,Difficulty staying focused,Often (I struggle to concentrate for long periods),"Use online resources (YouTube, Khan Academy, etc.)",Desire to get good grades,Not very effective (I struggle to stay consistent or motivated)
4/3/2025 19:53:11,18 - 21,Undergraduate,3 - 4,6 - 7 hours,11 - 12 AM,"Yes, less than 10 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Practice exams / questions",I rarely take breaks,Silence,Procrastination,"Sometimes (I get distracted, but can refocus easily)",Figure it out myself,Fear of failing a class,"Somewhat effective (I get my work done, but there is room for improvement)"
4/4/2025 13:57:28,18 - 21,Undergraduate,5+,4 - 5 hours,After 12 AM,"No, I am currently not working",0 activities,Less than one hour,"Writing notes by hand, Reviewing slides or reading textbook, Practice exams / questions",Every 15 - 30 minutes,Silence,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),Figure it out myself,Career or future goals,Not very effective (I struggle to stay consistent or motivated)
4/7/2025 20:45:48,18 - 21,Undergraduate,3 - 4,4 - 5 hours,After 12 AM,"Yes, 10 - 20 hours per week",0 activities,Less than one hour,"Reviewing slides or reading textbook, Watching online videos",Every 15 - 30 minutes,Background Music,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),"Use online resources (YouTube, Khan Academy, etc.)",Fear of failing a class,"Somewhat effective (I get my work done, but there is room for improvement)"
4/8/2025 8:00:38,18 - 21,Undergraduate,3 - 4,6 - 7 hours,11 - 12 AM,"Yes, more than 20 hours per week",3 - 4 activities,1 - 2 hours,"Reviewing slides or reading textbook, Practice exams / questions",Every 30 minutes - 1 hour,Pomodoro Technique (study in short bursts with breaks),Trouble understanding the material,"Sometimes (I get distracted, but can refocus easily)","Use online resources (YouTube, Khan Academy, etc.)",Interest in learning the subject,"Somewhat effective (I get my work done, but there is room for improvement)"
4/8/2025 15:32:24,18 - 21,Undergraduate,5+,6 - 7 hours,After 12 AM,"No, I am currently not working",0 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook",I rarely take breaks,Background Music,Difficulty staying focused,Often (I struggle to concentrate for long periods),Figure it out myself,Desire to get good grades,Not very effective (I struggle to stay consistent or motivated)
4/9/2025 16:57:06,18 - 21,Undergraduate,3 - 4,4 - 5 hours,After 12 AM,"Yes, 10 - 20 hours per week",0 activities,Less than one hour,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 1 - 2 hours,Silence,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),"Use online resources (YouTube, Khan Academy, etc.)",Desire to get good grades,Ineffective (I feel lost and don't know how to improve)
4/9/2025 20:47:17,22 - 30,High School,3 - 4,6 - 7 hours,After 12 AM,"Yes, more than 20 hours per week",0 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Practice exams / questions",Every 30 minutes - 1 hour,Background Music,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),Figure it out myself,Fear of failing a class,"Somewhat effective (I get my work done, but there is room for improvement)"
4/9/2025 22:38:11,22 - 30,Undergraduate,3 - 4,6 - 7 hours,After 12 AM,"No, I am currently not working",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 1 - 2 hours,Silence,Lack of motiviation,"Sometimes (I get distracted, but can refocus easily)",Ask a classmate or friend,Career or future goals,"Somewhat effective (I get my work done, but there is room for improvement)"
4/9/2025 22:55:11,18 - 21,Graduate,5+,8+ hours,Before 10 PM,"No, I am currently not working",More than 4 activities,More than 4 hours,"Flashcards, Writing notes by hand, Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 15 - 30 minutes,Pomodoro Technique (study in short bursts with breaks),Trouble understanding the material,Rarely (I stay focused most of the time),Visit the professor's office hours,Career or future goals,Very effective (I rarely struggle with studying)
